,movie,lead
363,Bajirao Mastani,Ranveer Singh
364,Welcome Back (film),Anil Kapoor
365,Baby (2015 Hindi film),Akshay Kumar
366,Singh Is Bliing,Akshay Kumar
367,Gabbar Is Back,Akshay Kumar
368,Gabbar Is Back,Akshay Kumar
369,Mumbai Can Dance Saala,Shakti Kapoor
370,Alone (2015 Hindi film),Bipasha Basu
371,Tevar,Arjun Kapoor
372,Sharafat Gayi Tel Lene,Zayed Khan
373,Dolly Ki Doli,Malaika Arora
374,Hawaizaada,Naman Jain
375,Khamoshiyan,Gurmeet Choudhary
376,Rahasya,Kay Kay Menon
377,Jai Jawaan Jai Kisaan (film),Rati Agnihotri
378,Shamitabh,Amitabh Bachchan
379,Roy (film),Arjun Rampal
380,Badlapur (film),Varun Dhawan
381,Crazy Cukkad Family,Swanand Kirkire
382,Take It Easy (2015 film),Sulabha Arya
383,Qissa (film),Irrfan Khan
384,Ab Tak Chhappan 2,Nana Patekar
385,Dum Laga Ke Haisha,Ayushmann Khurrana
386,Dirty Politics (film),Anupam Kher
387,MSG: The Messenger,Gurmeet Ram Rahim Singh
388,Badmashiyaan,Sidhant Gupta
389,Coffee Bloom,Arjun Mathur
390,Hey Bro,Ganesh Acharya
391,NH10 (film),Anushka Sharma
392,Hunterrr,Gulshan Devaiah
393,Detective Byomkesh Bakshy!,Sushant Singh Rajput
394,Luckhnowi Ishq,Adhyayan Suman
395,Court (film),Vira Sathidar
396,Margarita with a Straw,Kalki Koechlin
397,Ek Paheli Leela,Sunny Leone
398,Barkhaa,Sara Loren
399,Mr. X (2015 film),Emraan Hashmi
400,NH-8 Road to Nidhivan,Auroshika Dey
401,Dilliwali Zaalim Girlfriend,Ira Dubey
402,Dharam Sankat Mein,Naseeruddin Shah
403,Kaagaz Ke Fools,Vinay Pathak
404,Kuch Kuch Locha Hai,Ram Kapoor
405,Piku,Deepika Padukone
406,Bombay Velvet,Ranbir Kapoor
407,I Love Desi,Shakti Anand
408,Dil Dhadakne Do,Anil Kapoor
409,Welcome 2 Karachi,Arshad Warsi
410,P Se PM Tak,Meenakshi Dixit
411,Mere Genie Uncle,Yash Acharya
412,Hamari Adhuri Kahani,Rajkummar Rao
413,Miss Tanakpur Haazir Ho,Rahul Bagga
414,Uvaa,Mohit Baghel
415,Ishq Ke Parindey,Rishi Verma
416,Ishqedarriyaan,Mimoh Chakraborty
417,Sabki Bajegi Band,Swara Bhaskar
418,Masaan,Richa Chadha
419,Guddu Rangeela,Arshad Warsi
420,Bezubaan Ishq,Mugdha Godse
421,Aisa Yeh Jahaan,Yashpal Sharma
422,Second Hand Husband,Dharmendra
423,I Love NY (2015 film),Sunny Deol
424,Main Hoon Part-Time Killer,Smitha Gondkar
425,Kaun Kitne Paani Mein,Kunal Kapoor
426,Drishyam (2015 film),Ajay Devgn
427,Bangistan,Jacqueline Fernandez
428,All Is Well (2015 film),Rishi Kapoor
429,Brothers (2015 film),Akshay Kumar
430,Gour Hari Dastaan,Vinay Pathak
431,Manjhi – The Mountain Man,Nawazuddin Siddiqui
432,Thoda Lutf Thoda Ishq,Bhavita Anand
433,Phantom (2015 film),Saif Ali Khan
434,Hero (2015 Hindi film),Suraj Pancholi
435,Sorry Daddy,Shamim Khan
436,Talvar (film),Irrfan Khan
437,Katti Batti,Suhaas Ahuja
438,Meeruthiya Gangsters,Jaideep Ahlawat
439,MSG-2 The Messenger,Charanpreet Insan
440,Calendar Girls (2015 film),Akanksha Puri
441,Bhaag Johnny,Kunal Khemu
442,Jazbaa,Aishwarya Rai Bachchan
443,Bumper Draw,Seema Azmi
444,Chinar Daastaan-E-Ishq,Parveen Kaur
445,Kis Kisko Pyaar Karoon,Kapil Sharma
